Ticker,Number of trades,Average return,Win rate,Max drawdown,Total return
SPY,110,0.0017418168445491058,0.5818181818181818,-0.03675852145017511,0.20071791739048872
QQQ,110,0.0021727506429390616,0.6,-0.06455917813380252,0.2524260427073963
DIA,110,0.001511623553476802,0.5454545454545454,-0.03421980621064813,0.1736494215453488
XLK,110,0.003284793407792091,0.6363636363636364,-0.07905614179822995,0.4074088702480727
XLF,110,0.001667147857535402,0.5363636363636364,-0.045868696306631596,0.1917778958170706
